﻿RegisteredTypeName	ReferenceCount	SampleFiles
HolyInferno	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
HolyPriceBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
HypothermiaBuff	2	FargowiltasCrossmod.Content.Calamity.Bosses.Cryogen/PermafrostBoss.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
InfestedBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
Irradiated	3	FargowiltasCrossmod.Content.Calamity.Projectiles/SulphurCloud.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantOldDuke.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
IvyVenomBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
JammedBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
Laceration	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
LeadPoisonBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
LethargicBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
LightningRodBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
LihzahrdCurseBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
LivingWastelandBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
LovestruckBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
LowGroundBuff	3	FargowiltasCrossmod.Content.Calamity.Bosses.Crabulon/CrabulonEternity.cs|FargowiltasCrossmod.Content.Calamity.Bosses.Perforators/PerfsEternity.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
ManaBurn	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
MarkedforDeathBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
MidasBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
MiracleBlight	3	FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantAresBomb.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantAresNuke.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
MutantFangBuff	15	FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantFishronRitual.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantSpearDash.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantSpearSpin.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantAresBomb.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantAresNuke.cs
MutantNibbleBuff	2	FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantFishronRitual.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
MutantPresenceBuff	1	FargowiltasCrossmod.Core.Calamity.Globals/CalDLCNPCChanges.cs
NanoInjectionBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
NeurotoxinBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
Nightwither	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
NullificationCurseBuff	2	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCNPCDetours.cs
OceanicMaulBuff	4	FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantFishronRitual.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantSpearDash.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantSpearSpin.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
OiledBuff	2	FargowiltasCrossmod.Content.Calamity.Bosses.HiveMind/HMEternity.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
OriPoisonBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
PinkCandleBuff	1	FargowiltasCrossmod.Core.Calamity.Globals/CalDLCTileChanges.cs
Plague	4	FargowiltasCrossmod.Content.Calamity.Items.Accessories.Enchantments/PlaguebringerEffect.cs|FargowiltasCrossmod.Content.Calamity.Projectiles/PlagueCloud.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantPBG.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
