﻿RegisteredTypeName	ReferenceCount	SampleFiles
FrozenBuff	2	Projectiles/FargoSoulsGlobalProjectile.cs|Bosses/AbomBoss/AbomBoss.cs
FusedBuff	11	Buffs/FargoGlobalBuff.cs|Projectiles/EModeGlobalProjectile.cs|Buffs/Masomode/SadismBuff.cs|Items/Accessories/Masomode/ChaliceoftheMoon.cs|Items/Accessories/Masomode/LihzahrdTreasureBox.cs
GladiatorBuff	1	Projectiles/Minions/GladiatorStandard.cs
GladiatorSpiritBuff	1	Projectiles/Minions/GladiatorSpirit.cs
GodEater	3	Bosses/DeviBoss/DeviBoss.cs|Projectiles/Masomode/SkeletronBone.cs|Items/Accessories/Souls/MasochistSoul.cs
GodEaterBuff	7	Bosses/AbomBoss/AbomBoss.cs|Bosses/MutantBoss/MutantBoss.cs|Bosses/MutantBoss/MutantGuardian.cs|Bosses/MutantBoss/MutantIllusion.cs|Bosses/VanillaEternity/DukeFishron.cs
GoldenStasisBuff	2	Items/FargoGlobalItem.cs|Bosses/MutantBoss/MutantGiantDeathray2.cs
GoldenStasisCDBuff	2	Bosses/AbomBoss/AbomBoss.cs|Bosses/MutantBoss/MutantBoss.cs
GrabbedBuff	3	Bosses/CursedCoffin/CursedSpirit.cs|Projectiles/Masomode/WOFChain.cs|NPCs/EternityModeNPCs/VanillaEnemies/Jungle/Snatchers.cs
GrabbedHarmlessBuff	1	Projectiles/Masomode/DeerclopsHand.cs
GuiltyBuff	12	Bosses/DeviBoss/DeviDevilScythe.cs|Bosses/DeviBoss/DeviSparklingLoveSmall.cs|Bosses/TrojanSquirrel/TrojanSquirrelProj.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/MothDust.cs
HallowCooldownBuff	1	Projectiles/Minions/HallowSword.cs
HallowIlluminatedBuff	5	Buffs/Masomode/SadismBuff.cs|Items/Accessories/Masomode/GalacticGlobe.cs|Items/Accessories/Masomode/GelicWings.cs|Items/Accessories/Masomode/HeartoftheMasochist.cs|Items/Accessories/Souls/MasochistSoul.cs
HellFireBuff	6	Bosses/Magmaw/Magmaw.cs|Projectiles/BossWeapons/HellBone.cs|Projectiles/BossWeapons/HellBonez.cs|Projectiles/BossWeapons/HellGuardian.cs|Projectiles/BossWeapons/HellSkeletron.cs
