﻿RegisteredTypeName	ReferenceCount	SampleFiles
LongisquamaPetBuff	1	Spooky.Content.Items.Pets/ScalyHockeyStick.cs
MocoPetBuff	1	Spooky.Content.Items.Pets/MocoTissue.cs
MonumentMythosCooldown	4	Spooky.Content.Items.Cemetery.Contraband/AnalogHorrorTape.cs|Spooky.Content.Items.Cemetery.Contraband/MonumentMythosPyramid.cs|Spooky.Core/MonumentMythosPyramidDraw.cs|Spooky.Core/SpookyPlayer.cs
MonumentMythosShatter	1	Spooky.Core/SpookyPlayer.cs
NerveWhipDebuff	1	Spooky.Content.Projectiles.SpookyHell/NerveWhipProj.cs
NineTailsDebuff	1	Spooky.Content.Projectiles.Catacomb/NineTailsProj.cs
NoseBlessingBuff	1	Spooky.Content.NPCs.NoseCult/NoseCultistLeaderIdle.cs
NoseBlessingDebuff	2	Spooky.Content.Projectiles.SpookyHell/SnotBlessingOrbiter.cs|Spooky.Core/SpookyPlayer.cs
NoseBlessingDebuffCooldown	2	Spooky.Content.Buffs.Debuff/NoseBlessingDebuff.cs|Spooky.Core/SpookyPlayer.cs
NoseMinionBuff	2	Spooky.Content.Items.SpookyHell/BoogerStaff.cs|Spooky.Content.Projectiles.SpookyHell/NoseMinion.cs
OldHunterBuff	4	Spooky.Content.Items.Catacomb/HunterSoulScepter.cs|Spooky.Content.Projectiles.Catacomb/OldHunterMage.cs|Spooky.Content.Projectiles.Catacomb/OldHunterMelee.cs|Spooky.Content.Projectiles.Catacomb/OldHunterRanged.cs
OrroboroPetBuff	1	Spooky.Content.Items.Pets/OrroboroRing.cs
PandoraBeanBuff	1	Spooky.Content.Items.Pets/PandoraBean.cs
PandoraCrossCooldown	1	Spooky.Core/SpookyPlayer.cs
PandoraHandCooldown	1	Spooky.Core/SpookyPlayer.cs
PepperMinionBuff	2	Spooky.Content.Items.Minibiomes.Vegetable/JalapenoStaff.cs|Spooky.Content.Projectiles.Minibiomes.Vegetable/PepperMinion.cs
PepperSpice	1	Spooky.Core/BloomBuffsPlayer.cs
PeptoDebuff	3	Spooky.Content.Projectiles.SpookyHell/PeptoBubble.cs|Spooky.Core/NPCGlobal.cs|Spooky.Core/SpookyPlayer.cs
PetscopBuff	1	Spooky.Content.Items.Pets/PetscopTool1.cs
PetscopMarvinBuff	1	Spooky.Content.Items.Pets/PetscopTool2.cs
PetscopTiaraBuff	1	Spooky.Content.Items.Pets/PetscopTool3.cs
PheromoneWhipDebuff	2	Spooky.Content.Projectiles.SpiderCave/PheromoneWhipProj.cs|Spooky.Core/NPCGlobal.cs
PiercedBleedDebuff	1	Spooky.Core/NPCGlobal.cs
PiercedDebuff	2	Spooky.Content.Projectiles.SpookyBiome/SewingNeedle.cs|Spooky.Core/NPCGlobal.cs
Possessed	1	Spooky.Content.NPCs.Cemetery/PossessorEvil.cs
PumpkinHeadBuff	1	Spooky.Content.Projectiles.Cemetery/PumpkinHead.cs
PuttyPetBuff	1	Spooky.Content.Items.Pets/PuttyCup.cs
RatPetBuff	1	Spooky.Content.Items.Pets/ExpiredCheese.cs
RotGourdMinionBuff	2	Spooky.Content.Items.SpookyBiome/GourdStaff.cs|Spooky.Content.Projectiles.SpookyBiome/RotGourdMinion.cs
RotGourdPetBuff	1	Spooky.Content.Items.Pets/RottenGourd.cs
SadDebuff	2	Spooky.Content.NPCs.Cemetery/SadGhostBig.cs|Spooky.Content.NPCs.Cemetery/SadGhostSmall.cs
SeaSpongeBuff	1	Spooky.Core/BloomBuffsPlayer.cs
SentientKeybrandDebuff	2	Spooky.Content.Projectiles.Sentient/SentientKeybrandProj.cs|Spooky.Content.Projectiles.Sentient/SentientKeybrandThrown.cs
SentientLeatherWhipDebuff	1	Spooky.Content.Projectiles.Sentient/SentientLeatherWhipProj.cs
ShroomHopperBuff	1	Spooky.Content.Items.Pets/YellowSpore.cs
ShroomWhipDebuff	1	Spooky.Content.Projectiles.SpookyBiome/ShroomWhipProj.cs
SinisterSnailBuff	1	Spooky.Content.Items.Pets/SinisterShell.cs
SkullEmojiBuff	1	Spooky.Content.Items.Pets/SkullKey.cs
SkullFrenzyBuff	2	Spooky.Content.Projectiles.Catacomb/SkullAmuletSoul.cs|Spooky.Core/SpookyPlayer.cs
SkullGoopBuff	1	Spooky.Content.Items.Pets/DissolvedBone.cs
SkullTotemBuff	1	Spooky.Content.Projectiles.Catacomb/SkullTotem.cs
SkullWispBuff	2	Spooky.Content.Items.SpookyBiome/SkullWispStaff.cs|Spooky.Content.Projectiles.SpookyBiome/SkullWisp.cs
SlendermanPageBuff	2	Spooky.Content.Items.Cemetery.Contraband/SlendermanBuffPage.cs|Spooky.Content.Projectiles.Cemetery/SlendermanTentacle.cs
SmokerCoughDebuff	1	Spooky.Content.Projectiles.SpookyHell/CoughSmokeCloud.cs
SmokerLungCooldown	1	Spooky.Core/SpookyPlayer.cs
SoulSkullBuff	2	Spooky.Content.Items.Catacomb/BigBoneScepter.cs|Spooky.Content.Projectiles.Catacomb/SoulSkullMinion.cs
SpearfishBleed	2	Spooky.Content.Projectiles.Minibiomes.Ocean/BloodGunSplatter.cs|Spooky.Content.Projectiles.Minibiomes.Ocean/SpearfishLanceMetalSlashProj.cs
SpiderArmorStealth	1	Spooky.Core/SpookyPlayer.cs
SpiderBabyBuff	2	Spooky.Content.Projectiles.SpiderCave/SpiderBabyGreen.cs|Spooky.Content.Projectiles.SpiderCave/SpiderSummonEggProj.cs
SpiderSlingshotSlow	1	Spooky.Content.Projectiles.SpiderCave/SpiderSlingshotWeb.cs
SpiderStealthCooldown	1	Spooky.Core/SpookyPlayer.cs
SpookFishronMinionBuff	2	Spooky.Content.Items.SpookyBiome/SpookFishronStaff.cs|Spooky.Content.Projectiles.SpookyBiome/SpookFishronMinion.cs
SpookySpiritPetBuff	1	Spooky.Content.Items.Pets/SpiritLamp.cs
SteroidBuff	1	Spooky.Content.Items.Minibiomes.Ocean/UnstableSteroid.cs
SteroidWeakness	2	Spooky.Content.Buffs/SteroidBuff.cs|Spooky.Content.Items.Minibiomes.Ocean/UnstableSteroid.cs
StickyEyeBuff	1	Spooky.Content.Items.Pets/StickyEye.cs
StitchedCloakCooldown	1	Spooky.Core/SpookyPlayer.cs
StockingMinionBuff	2	Spooky.Content.Items.Minibiomes.Christmas/StockingStaff.cs|Spooky.Content.Projectiles.Minibiomes.Christmas/StockingMinion.cs
StrawberryBoostBuff	1	Spooky.Content.Projectiles.Blooms/StrawberryBoost.cs
Tarred	2	Spooky.Content.Projectiles.Minibiomes.Desert/TarTomeBlob.cs|Spooky.Content.Projectiles.Minibiomes.Desert/TarTomeFeather.cs
ThornMark	3	Spooky.Content.Projectiles.Catacomb/BowFlower.cs|Spooky.Content.Projectiles.Catacomb/BowFlowerThorn.cs|Spooky.Content.Projectiles.Catacomb/BowThornFlower.cs
ThornRoseBleed	1	Spooky.Content.Projectiles.Blooms/RoseThornRing.cs
TitanoboaWhipDebuff	1	Spooky.Content.Projectiles.Minibiomes.Desert/TitanoboaWhipProj.cs
TortumorMinionBuff	2	Spooky.Content.Items.SpookyHell/TortumorStaff.cs|Spooky.Content.Projectiles.SpookyHell/TortumorMinion.cs
TrapdoorSpiderMountBuff	1	Spooky.Content.Items.Pets/TrapdoorSpiderMount.cs
TurkeyMountBuff	3	Spooky.Content.NPCs.Tameable/Turkey.cs|Spooky.Content.NPCs.Tameable/TurkeyMount.cs|Spooky.Content.NPCs.Tameable/TurkeyMountScene.cs
ValleyNautilusBuff	1	Spooky.Content.Items.Pets/ValleyNautilusShell.cs
WhipSpiderAggression	1	Spooky.Content.NPCs.SpiderCave.Projectiles/WhipSpiderTongue.cs
WingedBiomassBuff	2	Spooky.Content.Items.SpookyHell.Sentient/SentientSphereStaff.cs|Spooky.Content.Projectiles.Sentient/WingedBiomass.cs
YuletideArmorCooldown	1	Spooky.Core/SpookyPlayer.cs
ZombieCultistPetBuff	1	Spooky.Content.Items.Pets/OddBrain.cs
